qid,docno,label,iteration
1,2005.ipm_journal-ir0volumeA41A1.7,1,0
1,2019.tois_journal-ir0volumeA37A1.2,1,0
1,2008.sigirconf_conference-2008.127,1,0
1,2015.ipm_journal-ir0volumeA51A5.7,0,0
1,2008.tois_journal-ir0volumeA27A1.1,0,0
1,1999.ntcir_workshop-1999.31,1,0
1,2001.sigirconf_workshop-2001w1.0,0,0
1,2018.wsdm_conference-2018.47,1,0
1,1995.sigirconf_conference-95.30,1,0
1,2006.ipm_journal-ir0volumeA42A3.0,1,0
1,2013.ipm_journal-ir0volumeA49A1.18,1,0
1,2007.ipm_journal-ir0volumeA43A1.13,1,0
1,2008.cikm_conference-2008.76,1,0
1,2004.cikm_conference-2004.47,1,0
1,2000.sigirconf_conference-2000.7,0,0
1,1997.sigirconf_conference-97.36,1,0
1,2005.ipm_journal-ir0volumeA41A4.12,1,0
1,2008.cikm_conference-2008.59,0,0
1,2013.ipm_journal-ir0volumeA49A1.7,1,0
1,2011.tois_journal-ir0volumeA29A2.0,1,0
1,2007.ipm_journal-ir0volumeA43A2.9,1,0
1,2010.sigirjournals_journal-ir0volumeA44A2.20,0,0
1,2005.ipm_journal-ir0volumeA41A5.11,1,0
1,1998.sigirconf_conference-98.39,0,0
1,2006.ipm_journal-ir0volumeA42A3.2,1,0
1,2018.ictir_conference-2018.20,0,0
1,2004.ecir_conference-2004.21,1,0
1,2001.sigirconf_conference-2001.5,1,0
1,2017.ipm_journal-ir0volumeA53A4.6,1,0
1,2012.wwwconf_conference-2012c.84,0,0
1,2016.ntcir_conference-2016.90,1,0
1,1998.sigirconf_conference-98.33,1,0
1,1998.sigirconf_conference-98.15,1,0
1,2008.ipm_journal-ir0volumeA44A3.9,1,0
1,2014.cikm_conference-2014.9,0,0
1,2018.sigirjournals_journal-ir0volumeA52A2.23,1,0
1,2012.sigirjournals_journal-ir0volumeA46A1.9,0,0
1,2007.tois_journal-ir0volumeA26A1.4,1,0
1,2003.sigirconf_conference-2003.49,0,0
1,1998.sigirconf_conference-98.22,0,0
1,2009.cikm_conference-2009.277,1,0
1,2016.sigirconf_conference-2016.211,0,0
1,1989.ipm_journal-ir0volumeA25A4.2,1,0
1,2018.ipm_journal-ir0volumeA54A2.1,0,0
1,2007.sigirconf_conference-2007.212,0,0
1,2008.cikm_conference-2008.183,1,0
2,2018.fire_conference-2018w.9,1,0
2,2018.tist_journal-ir0volumeA9A5.0,0,0
2,2015.fire_workshop-2015w.7,1,0
2,2015.tist_journal-ir0volumeA6A2.9,0,0
2,2014.fire_conference-2014.18,0,0
2,2017.fire_conference-2017w.34,1,0
2,2018.ipm_journal-ir0volumeA54A6.16,0,0
2,2017.jasis_journal-ir0volumeA68A10.7,0,0
2,2017.fire_conference-2017w.30,1,0
2,2009.ipm_journal-ir0volumeA45A1.5,0,0
2,2017.fire_conference-2017w.36,1,0
2,2013.tois_journal-ir0volumeA31A2.1,0,0
2,2014.fire_conference-2014.9,1,0
2,2018.fire_conference-2018w.10,1,0
2,2018.fire_conference-2018w.14,1,0
2,2011.sigirconf_conference-2011.216,0,0
2,2014.fire_conference-2014.8,1,0
2,2016.ipm_journal-ir0volumeA52A4.0,0,0
2,2014.airs_conference-2014.24,0,0
2,2018.fire_conference-2018.3,0,0
2,2019.fire_conference-2019w.41,0,0
2,2008.ipm_journal-ir0volumeA44A3.6,0,0
2,2006.ipm_journal-ir0volumeA42A4.7,0,0
2,2000.riao_conference-2000.44,0,0
2,2019.fire_conference-2019w.45,0,0
2,2018.fire_conference-2018w.11,1,0
2,1998.ipm_journal-ir0volumeA34A4.1,0,0
2,2015.fire_workshop-2015w.6,1,0
2,2019.fire_conference-2019w.42,0,0
2,2015.fire_workshop-2015w.9,1,0
2,2007.ipm_journal-ir0volumeA43A5.3,0,0
2,2009.ipm_journal-ir0volumeA45A1.0,0,0
2,2019.fire_conference-2019w.36,0,0
3,2020.ipm_journal-ir0volumeA57A6.40,0,0
3,2020.jasis_journal-ir0volumeA71A1.3,0,0
3,2019.ecir_conference-20192.48,0,0
3,2015.jasis_journal-ir0volumeA66A6.14,0,0
3,2021.wwwconf_conference-2021c.39,0,0
